,Country/Territory,2000,2011,2021,Latitud,Longitud
142,Montenegro,0.0,455.1,454.5,42.9868853,19.5180992
143,Morocco,15925.0,19964.6,23992.8,31.1728205,-7.3362482
144,Mozambique,8722.0,10767.4,14317.6,-19.302233,34.9144977
145,Myanmar,0.0,31390.4,35558.9,17.1750495,95.9999652
146,Namibia,0.0,1216.3,1375.3,-23.2335499,17.3231107
147,Nauru,0.0,6.2,6.6,-0.5268357,166.9341755
148,Nepal,0.0,16135.9,17977.5,28.1083929,84.0917139
149,Netherlands,11494.0,12059.2,12631.9,52.2434979,5.6343227
150,Netherlands Antilles,143.0,146.4,0.0,12.1845,-68.6607922625
151,New Caledonia,0.0,165.1,199.4,-21.3019905,165.4880773
152,New Zealand,2607.0,3040.5,3423.2,-41.5000831,172.8344077
153,Nicaragua,0.0,3163.3,4066.0,12.6090157,-85.2936911
154,Niger,0.0,6511.2,9870.6,17.7356214,9.3238432
155,Nigeria,50671.0,75551.4,96812.4,9.6000359,7.9999721
156,Niue,0.0,0.8,0.0,-19.0536414,-169.861341
157,Northern Mariana Islands,0.0,0.0,35.3,15.1753648,145.7379338
158,North Macedonia,1369.0,1513.2,1571.6,41.6171214,21.7168387
159,Norway,3127.0,3454.7,3969.6,61.1529386,8.7876653
160,Oman,0.0,1810.3,3762.3,21.0000287,57.0036901
161,Pakistan,74491.0,94447.0,123526.4,30.3308401,71.247499
162,Palau,0.0,12.3,11.1,5.3783537,132.9102573
163,Panama,1662.0,2190.8,2779.6,8.559559,-81.1308434
164,Papua New Guinea,2438.0,3553.7,4974.1,-5.6816069,144.2489081
165,Paraguay,2693.0,3648.5,4400.2,-23.3165935,-58.1693445
166,Peru,14217.0,17503.7,22044.0,-6.8699697,-75.0458515
167,Philippines,39787.0,51334.9,66754.4,12.7503486,122.7312101
168,Poland,27136.0,28917.5,28518.0,52.215933,19.134422
169,Portugal,7309.0,8028.8,7640.6,39.6621648,-8.1353519
170,Puerto Rico,2517.0,2546.5,2052.8,18.2247706,-66.4858295
171,Qatar,398.0,1542.0,2406.6,25.3336984,51.2295295
172,Réunion,0.0,552.2,0.0,-21.130737949999997,55.536480112992315
173,Republic of Korea,32565.0,36204.1,40647.9,36.638392,127.6961188
174,Republic of Moldova,0.0,2610.0,3094.6,47.2879608,28.5670941
175,Romania,16339.0,16349.3,14231.4,45.9852129,24.6859225
176,Russian Federation,0.0,109167.0,105944.9,64.6863136,97.7453061
177,Rwanda,0.0,5147.2,6631.2,-1.9646631,30.0644358
178,Saint Kitts and Nevis,26.0,33.4,35.3,17.250512,-62.6725973
179,Saint Lucia,0.0,111.5,134.5,13.8250489,-60.975036
180,Saint Vincent and the Grenadines,0.0,68.8,75.8,12.90447,-61.2765569
181,Samoa,0.0,93.0,104.8,-13.7693895,-172.12005
182,San Marino,0.0,23.8,25.4,43.9458623,12.458306
183,Sao Tome and Principe,0.0,81.1,104.3,0.9713095,7.02255
184,Saudi Arabia,10581.0,17023.2,24194.3,25.6242618,42.3528328
185,Senegal,4219.0,5785.5,8036.7,14.4750607,-14.4529612
186,Serbia,0.0,7177.2,6521.1,44.1534121,20.55144
187,Seychelles,0.0,39.6,67.2,-4.6574977,55.4540146
188,Sierra Leone,0.0,2794.3,3961.1,8.6400349,-11.8400269
189,Singapore,2507.0,3838.9,4767.9,1.357107,103.8194992
190,Slovakia,3784.0,4145.0,4159.0,48.7411522,19.4528646
191,Slovenia,1486.0,1563.1,1553.5,46.1199444,14.8153333
192,Solomon Islands,0.0,274.8,347.9,-8.7053941,159.1070693851845
193,Somalia,0.0,4275.7,6917.0,8.3676771,49.083416
194,South Africa,21932.0,30111.8,37416.8,-28.8166236,24.991639
195,South Sudan,0.0,0.0,5432.7,7.8699431,29.6667897
196,Spain,29899.0,34895.6,34841.3,39.3260685,-4.8379791
197,Sri Lanka,11757.0,13893.8,14406.6,7.877395849999999,80.66247852355892
198,State of Palestine,0.0,1896.0,2689.4,31.462420950000002,34.262716572130714
199,Sudan,14313.0,22000.2,22054.0,14.5844444,29.4917691
200,Suriname,237.0,329.9,376.7,4.1413025,-56.0771187
201,Sweden,6341.0,6763.9,7259.2,59.6749712,14.5208584
202,Switzerland,5389.0,5707.7,6506.6,46.7985624,8.2319736
203,Syrian Arab Republic,7510.0,10824.5,10936.9,34.6401861,39.0494106
204,Taiwan,13262.0,17355.8,18797.5,23.9739374,120.9820179
205,Tajikistan,0.0,3543.9,5238.9,38.6281733,70.8156541
206,Thailand,39759.0,49088.0,52223.5,14.8971921,100.83273
207,Timor-Leste,0.0,484.2,689.7,-8.7443169,126.063482
208,Togo,1991.0,3037.3,4121.1,8.7800265,1.0199765
209,Tokelau,0.0,0.7,0.0,-9.1676396,-171.819687
210,Tonga,65.0,53.0,57.5,-19.9160819,-175.202642
211,Trinidad and Tobago,809.0,953.0,1005.4,10.7466905,-61.0840075
212,Tunisia,5555.0,7084.3,8046.4,33.8439408,9.400138
213,Turkey,40474.0,47322.4,56658.9,38.9597594,34.9249653
214,Turkmenistan,0.0,3048.4,3702.9,39.3763807,59.3924609
215,Tuvalu,0.0,5.7,7.3,-8.6405212,179.1582918181797
216,Uganda,8405.0,13932.2,20127.6,1.5333554,32.2166578
217,Ukraine,36542.0,34542.8,32683.0,49.4871968,31.2718321
218,United Arab Emirates,0.0,6107.4,8057.1,24.0002488,53.9994829
219,United Kingdom,41638.0,44813.1,48928.0,54.7023545,-3.2765753
220,United Republic of Tanzania,14466.0,20498.9,28027.1,-6.5247123,35.7878438
221,United States of America,190081.0,216804.8,237306.1,39.7837304,-100.445882
222,Uruguay,2166.0,2237.1,2380.4,-32.8755548,-56.0201525
223,US Virgin Islands,0.0,75.4,73.4,17.789187,-64.7080574
224,Uzbekistan,0.0,16397.4,21349.8,41.32373,63.9528098
225,Vanuatu,0.0,125.5,161.8,-16.5255069,168.1069154
226,Venezuela (Bolivarian Republic of),13332.0,17838.5,18107.8,8.0018709,-66.1109318
227,Viet Nam,0.0,58408.1,66984.8,15.9266657,107.9650855
228,Yemen,0.0,10902.1,15412.9,16.3471243,47.8915271
229,Zambia,3692.0,5717.3,8441.9,-14.5189121,27.5589884
230,Zimbabwe,5404.0,6164.7,7110.8,-18.4554963,29.7468414
