"Año";"Periodo";"Parámetro";"2011";"2021";"2030";"2045"
"2021";"Año";"Tailandia";"4.014,3";"6.066,6";"6.735,5";"6.783,7"
"2021";"Año";"Taiwán";"1.664,5";"2.457,2";"2.979,4";"3.030,7"
"2021";"Año";"Tanzania";"472,9";"2.884";"4.209,4";"7.363,1"
"2021";"Año";"Tayikistán";"155,5";"327,6";"423,8";"600,7"
"2021";"Año";"Timor-Leste";"30";"46,3";"59,1";"89,8"
"2021";"Año";"Togo";"81,2";"75,4";"102,2";"158,7"
"2021";"Año";"Tonga";"6,1";"7,4";"8,5";"10,7"
"2021";"Año";"Trinidad y Tobago";"117,5";"148,9";"166,8";"177,6"
"2021";"Año";"Túnez";"629,6";"869,4";"1.016";"1.163,5"
"2021";"Año";"Turkmenistán";"69,8";"223,7";"268,9";"346,3"
"2021";"Año";"Turquía";"3.502,3";"9.020,9";"10.817,8";"13.386,3"
"2021";"Año";"Tuvalu";"1,1";"1,6";"1,9";"2,4"
"2021";"Año";"Ucrania";"1.196";"2.325";"2.396,4";"2.215,9"
"2021";"Año";"Uganda";"307,9";"716";"1.059,8";"1.902,8"
"2021";"Año";"Uruguay";"148,6";"275,6";"290,9";"325,2"
"2021";"Año";"Uzbekistán";"812,9";"1.351,8";"1.704,2";"2.190,9"
"2021";"Año";"Vanuatu";"17,3";"19,9";"26,7";"41,3"
"2021";"Año";"Venezuela";"1.674,6";"2.280";"3.238";"4.079,3"
"2021";"Año";"Vietnam";"1.702,7";"3.994,1";"4.961,6";"6.015,3"
"2021";"Año";"Yemen";"727,1";"613,9";"897,8";"1.507,1"
"2021";"Año";"Zambia";"243,8";"726,3";"1.098,2";"2.045,3"
"2021";"Año";"Zimbabue";"550,9";"106,4";"142,7";"231,5"
;;;;;
;;;;;
"Métrica":"2011"
"Fuente":"FID"
"Clasificación":""
"Unidad":"Miles de personas"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"2021"
